data_source,outcome_clean,transform_label,control_label,model,percent_effect,effect_pct,power,mean_att,mean_se,n_sims
NIBRS,agg_18,IHS,Econ+Crime,cs,0.9,-10,0.1,0.743793649423348,6.7172961833984,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,0.9,-10,0,-Inf,17.7553511118037,200
NIBRS,agg_18,IHS,Econ+Crime,cs,1,0,0.17,0.923039985770128,6.65674102315506,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,1,0,0,-Inf,17.720126831369,200
NIBRS,agg_18,IHS,Econ+Crime,cs,1.1,10,0.12,0.623148303715885,6.72911812125599,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,1.1,10,0,-Inf,17.7503407344993,200
NIBRS,agg_18,IHS,Econ+Crime,cs,1.2,20,0.205,1.08231666822629,6.6105637642025,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,1.2,20,0,-Inf,17.744136871096,200
NIBRS,agg_18,IHS,Econ+Crime,cs,1.3,30,0.175,1.23034636905218,6.72876617558247,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,1.3,30,0,-Inf,17.7320718578932,200
NIBRS,agg_18,IHS,Econ+Crime,cs,1.4,40,0.2,0.885147363744513,6.69715799883435,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,1.4,40,0,-Inf,17.7659896756379,200
NIBRS,agg_18,IHS,Econ+Crime,cs,1.5,50,0.165,0.936753164259014,6.69490400752088,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,1.5,50,0,-Inf,17.777879454458,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,0.5,-50,0.75,-36.811775149537,17.0559242954493,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,0.5,-50,0.5,-19.109160258854,13.9362607893347,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,0.6,-40,0.74,-30.3620870415509,13.9444692255512,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,0.6,-40,0.49,-13.219625304227,14.0819072294677,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,0.7,-30,0.595,-23.2419345660874,11.4308806375604,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,0.7,-30,0.025,-7.27886228686341,14.29743683867,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,0.8,-20,0.45,-17.1070240616698,9.52545486130964,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,0.8,-20,0,-1.22859271028583,14.5910237645466,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,0.9,-10,0.185,-10.1955243032648,8.55891027742598,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,0.9,-10,0.13,4.81698293203841,14.9175865803268,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,1,0,0.02,-2.8195354082445,8.0853027491763,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,1,0,0.5,10.7229681805138,15.3164036074606,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,1.1,10,0.085,2.55307585497046,9.01737307667169,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,1.1,10,0.5,16.9812340244025,15.7090328271684,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,1.2,20,0.19,9.90882793495759,10.7265219916189,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,1.2,20,0.5,22.7825438397653,16.1685808434807,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,1.3,30,0.22,16.9644044582518,13.1411260937508,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,1.3,30,0.5,28.8093642798265,16.7542916327691,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,1.4,40,0.26,23.0240440565567,15.7193107290333,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,1.4,40,0.5,34.617471813041,17.2585852999281,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,1.5,50,0.325,29.6349478847372,18.5003780931037,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,1.5,50,0.5,40.6837314235366,17.8829761554628,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,0.5,-50,0.045,-4.19539044772033,8.32066836221224,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,0.5,-50,0.5,10.3655690566204,15.2819159448615,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,0.6,-40,0.06,-4.42714864042695,7.95720908623439,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,0.6,-40,0.5,10.4650196389109,15.2965973366508,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,0.7,-30,0.075,-3.30806789518318,8.09345297751458,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,0.7,-30,0.5,10.6411207379231,15.2757525127832,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,0.8,-20,0.06,-3.81493869951846,8.44589660475227,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,0.8,-20,0.5,10.6840170088434,15.274839626245,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,0.9,-10,0.03,-3.55217689253768,8.47333091944568,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,0.9,-10,0.5,10.5762118740542,15.2693580258396,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,1,0,0.04,-4.04468594197783,8.39287372921585,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,1,0,0.5,11.028862798332,15.3117697224035,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,1.1,10,0.05,-3.19242746462166,8.30714525232284,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,1.1,10,0.5,10.8536702992943,15.2842859902363,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,1.2,20,0.03,-3.21156118696692,8.38329329112695,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,1.2,20,0.5,10.9865031057184,15.2800500638612,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,1.3,30,0.06,-3.85205956219847,8.07304219367008,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,1.3,30,0.5,11.0849463477002,15.2618668509403,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,1.4,40,0.04,-3.16485758727766,8.05826531180985,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,1.4,40,0.5,11.124566866142,15.2834406209542,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,1.5,50,0.04,-3.12736982824696,8.58218187876617,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,1.5,50,0.5,11.0630602059838,15.291068200656,200
NIBRS,agg_plus_sim_18,Raw,None,cs,0.5,-50,0.005,-139.53251826047,82.9084296059414,200
NIBRS,agg_plus_sim_18,Raw,None,imputation,0.5,-50,0,-104.371531145397,91.1619478109622,200
NIBRS,agg_plus_sim_18,Raw,None,cs,0.6,-40,0,-112.372356559196,78.7988784103541,200
NIBRS,agg_plus_sim_18,Raw,None,imputation,0.6,-40,0,-77.2113694441234,88.9720842551239,200
NIBRS,agg_plus_sim_18,Raw,None,cs,0.7,-30,0,-85.2650137742324,76.7861797912152,200
NIBRS,agg_plus_sim_18,Raw,None,imputation,0.7,-30,0,-50.1040266591596,87.1775762924117,200
NIBRS,agg_plus_sim_18,Raw,None,cs,0.8,-20,0,-59.0558062639379,75.4322982145888,200
NIBRS,agg_plus_sim_18,Raw,None,imputation,0.8,-20,0,-23.8948191488651,85.8312524834762,200
NIBRS,agg_plus_sim_18,Raw,None,cs,0.9,-10,0,-31.1912777079961,75.404787858179,200
NIBRS,agg_plus_sim_18,Raw,None,imputation,0.9,-10,0,3.96970940707671,85.1423921340144,200
NIBRS,agg_plus_sim_18,Raw,None,cs,1,0,0,-3.98847155736426,75.4257431246271,200
NIBRS,agg_plus_sim_18,Raw,None,imputation,1,0,0,31.1725155577085,84.8686718960502,200
NIBRS,agg_plus_sim_18,Raw,None,cs,1.1,10,0,23.8897409595744,75.6400725077934,200
NIBRS,agg_plus_sim_18,Raw,None,imputation,1.1,10,0,59.0507280746472,85.1939037433806,200
NIBRS,agg_plus_sim_18,Raw,None,cs,1.2,20,0,48.1925474478583,75.6717339152349,200
