data_source,outcome_clean,transform_label,control_label,model,mean_att,median_att,sd_att,mean_se,bias,rejection_rate,n_sims
NIBRS,aggshare,IHS,None,imputation,0.00421896481844836,0.00455417366575746,0.00307417110810243,0.0165720397357478,0.00421896481844836,0,200
NIBRS,aggshare,Raw,Econ+Crime,cs,0.00170508250556985,0.00192122482938872,0.00324510703126597,0.0068187096728695,0.00170508250556985,0,200
NIBRS,aggshare,Raw,Econ+Crime,imputation,0.011754382006838,0.0120502681180455,0.00730353191076629,0.00907576326619386,0.011754382006838,0.405,200
NIBRS,aggshare,IHS,Econ+Crime,cs,0.00192403112512681,0.00204713868864152,0.00302604312682824,0.00663599202035537,0.00192403112512681,0,200
NIBRS,aggshare,IHS,Econ+Crime,imputation,0.0117934728388062,0.0115552209123649,0.0074430775462908,0.00914371322873896,0.0117934728388062,0.44,200
NIBRS,aggshare,Raw,Econ+Crime+DV,cs,0.00294375863559172,0.00217874235221049,0.0070598234256617,0.00622713730518483,0.00294375863559172,0.15,200
NIBRS,aggshare,Raw,Econ+Crime+DV,imputation,0.0239801638213068,0.024200980826052,0.00274180832661456,0.00900663387525706,0.0239801638213068,0.99,200
NIBRS,aggshare,IHS,Econ+Crime+DV,cs,0.00287399708620973,0.00229291389185956,0.00634962931210565,0.00597222714464722,0.00287399708620973,0.115,200
NIBRS,aggshare,IHS,Econ+Crime+DV,imputation,0.0240590230762385,0.0241107342235315,0.00244310801456337,0.0089865551536417,0.0240590230762385,1,200
NIBRS,sim_18,Raw,None,cs,-3.45941072197906,-5.20173927401871,10.502813985696,54.195828021304,-3.45941072197906,0,200
NIBRS,sim_18,Raw,None,imputation,21.0141259963518,19.2717974443121,10.502813985696,60.1903659018169,21.0141259963518,0,200
NIBRS,sim_18,IHS,None,cs,-9.96732755836689,-11.606020655143,10.7643622286317,52.9182640815216,-9.96732755836689,0,200
NIBRS,sim_18,IHS,None,imputation,Inf,Inf,,,Inf,,200
NIBRS,sim_18,Raw,Econ+Crime,cs,1.46549917267515,1.67937905982337,11.5019125281707,23.3666388825838,1.46549917267515,0.015,200
NIBRS,sim_18,Raw,Econ+Crime,imputation,4.44272407631634,6.13430522362446,64.1026057969049,85.5498819542358,4.44272407631634,0,200
NIBRS,sim_18,IHS,Econ+Crime,cs,1.11616835145115,0.924067553159024,12.4730698511207,28.495739064112,1.11616835145115,0,200
